linhas,periodos,C
1,1,30960
1,2,30960
1,3,30960
1,4,30960
1,5,30960
1,6,30960
1,7,30960
1,8,30960
1,9,30960
1,10,30960
1,11,30960
1,12,30960
1,13,30960
1,14,30960
1,15,30960
1,16,30960
1,17,30960
1,18,30960
1,19,30960
1,20,30960
1,21,30960
1,22,30960
1,23,30960
1,24,30960
1,25,30960
1,26,30960
1,27,30960
1,28,30960
1,29,30960
1,30,30960
1,31,30960
1,32,30960
1,33,30960
1,34,30960
1,35,30960
1,36,30960
1,37,30960
1,38,30960
1,39,30960
1,40,30960
1,41,30960
1,42,30960
1,43,30960
1,44,30960
1,45,30960
1,46,30960
1,47,30960
1,48,30960
1,49,30960
1,50,30960
1,51,30960
1,52,30960
1,53,30960
1,54,30960
1,55,30960
1,56,30960
1,57,30960
1,58,30960
1,59,30960
1,60,30960
1,61,30960
1,62,30960
1,63,30960
1,64,30960
1,65,30960
1,66,30960
1,67,30960
1,68,30960
1,69,30960
1,70,30960
1,71,30960
1,72,30960
1,73,30960
1,74,30960
1,75,30960
1,76,30960
1,77,30960
1,78,30960
1,79,30960
1,80,30960
1,81,30960
1,82,30960
1,83,30960
1,84,30960
1,85,30960
1,86,30960
1,87,30960
1,88,30960
1,89,30960
1,90,30960
1,91,30960
1,92,30960
1,93,30960
1,94,30960
1,95,30960
1,96,30960
1,97,30960
1,98,30960
1,99,30960
1,100,30960
1,101,30960
1,102,30960
1,103,30960
1,104,30960
1,105,30960
1,106,30960
1,107,30960
1,108,30960
1,109,30960
1,110,30960
1,111,30960
1,112,30960
1,113,30960
1,114,30960
1,115,30960
1,116,30960
1,117,30960
1,118,30960
1,119,30960
1,120,30960
1,121,30960
1,122,30960
1,123,30960
1,124,30960
1,125,30960
1,126,30960
1,127,30960
1,128,30960
1,129,30960
1,130,30960
1,131,30960
1,132,30960
1,133,30960
1,134,30960
1,135,30960
1,136,30960
1,137,30960
1,138,30960
1,139,30960
1,140,30960
1,141,30960
1,142,30960
1,143,30960
1,144,30960
1,145,30960
1,146,30960
1,147,30960
1,148,30960
1,149,30960
1,150,30960
1,151,30960
1,152,30960
1,153,30960
1,154,30960
1,155,30960
1,156,30960
1,157,30960
1,158,30960
1,159,30960
1,160,30960
1,161,30960
1,162,30960
1,163,30960
1,164,30960
1,165,30960
1,166,30960
1,167,30960
1,168,30960
1,169,30960
1,170,30960
1,171,30960
1,172,30960
1,173,30960
1,174,30960
1,175,30960
1,176,30960
1,177,30960
1,178,30960
1,179,30960
1,180,30960
1,181,30960
1,182,30960
1,183,30960
1,184,30960
1,185,30960
1,186,30960
1,187,30960
1,188,30960
1,189,30960
1,190,30960
1,191,30960
1,192,30960
1,193,30960
1,194,30960
1,195,30960
1,196,30960
1,197,30960
1,198,30960
1,199,30960
1,200,30960
1,201,30960
1,202,30960
1,203,30960
1,204,30960
1,205,30960
1,206,30960
1,207,30960
1,208,30960
1,209,30960
1,210,30960
1,211,30960
1,212,30960
1,213,30960
1,214,30960
1,215,30960
1,216,30960
1,217,30960
1,218,30960
1,219,30960
1,220,30960
1,221,30960
1,222,30960
1,223,30960
1,224,30960
1,225,30960
1,226,30960
1,227,30960
1,228,30960
1,229,30960
1,230,30960
1,231,30960
1,232,30960
1,233,30960
1,234,30960
1,235,30960
1,236,30960
1,237,30960
1,238,30960
1,239,30960
1,240,30960
1,241,30960
1,242,30960
1,243,30960
1,244,30960
1,245,30960
1,246,30960
1,247,30960
1,248,30960
1,249,30960
1,250,30960
1,251,30960
2,1,30960
2,2,30960
2,3,30960
2,4,30960
2,5,30960
2,6,30960
2,7,30960
2,8,30960
2,9,30960
2,10,30960
2,11,30960
2,12,30960
2,13,30960
2,14,30960
2,15,30960
2,16,30960
2,17,30960
2,18,30960
2,19,30960
2,20,30960
2,21,30960
2,22,30960
2,23,30960
2,24,30960
2,25,30960
2,26,30960
2,27,30960
2,28,30960
2,29,30960
2,30,30960
2,31,30960
2,32,30960
2,33,30960
2,34,30960
2,35,30960
2,36,30960
2,37,30960
2,38,30960
2,39,30960
2,40,30960
2,41,30960
2,42,30960
2,43,30960
2,44,30960
2,45,30960
2,46,30960
2,47,30960
2,48,30960
2,49,30960
2,50,30960
2,51,30960
2,52,30960
2,53,30960
2,54,30960
